txn_id,amount_deviation,new_device,new_location,odd_hour,velocity,is_fraud
t320,-0.15326824528686284,0,0,1,1,0
t562,-0.09193181464053102,0,0,1,1,0
t429,0.42957485464290024,0,0,1,1,0
t937,-0.29229831726143385,0,0,1,1,0
t395,4.573465480346886,1,1,1,1,1
t801,-0.23012608724967978,0,0,0,1,0
t583,0.07353510966085663,0,0,0,1,0
t833,0.013666105468292201,0,0,0,1,0
t535,0.2581265841520046,0,0,0,2,0
t694,0.2962637362637363,0,0,0,1,0
t1,0.1449293288441462,0,0,0,1,0
t719,0.17583239472360357,0,0,0,1,0
t783,0.01560994680331186,0,0,0,1,0
t978,-0.06371652391104157,0,0,0,1,0
t678,0.2947672421470465,0,0,0,1,0
t533,0.20111790470193805,0,0,0,1,0
t92,0.0313517730437905,1,0,0,1,0
t818,0.13057585532229918,0,0,0,1,0
t39,-0.1923841434995654,0,0,0,1,0
t153,-0.08243949283028691,0,1,0,1,0
t992,0.11199366087993388,0,0,0,1,0
t927,-0.15716477392960437,1,0,0,1,0
t82,-0.1611134766872472,0,0,0,1,0
t655,5.178301870348098,1,1,0,1,1
t416,-0.23841435454121113,0,0,0,1,0
t879,0.08326097024429774,0,0,0,1,0
t13,0.10817083721549313,0,0,0,1,0
t490,0.12049386564538755,0,0,0,1,0
t738,0.054278076319121064,0,0,0,1,0
t546,0.13847501687563732,0,0,0,1,0
t612,-0.2607821002662962,0,0,0,1,0
t484,-0.08415947073089054,1,1,0,1,0
t167,0.0814023384525161,0,0,0,1,0
t899,-0.00012218403970987542,0,0,0,1,0
t548,-0.1084102176474512,0,0,0,1,0
t146,-0.2658620457150564,0,0,0,1,0
t250,0.017651198529306238,1,0,0,1,0
t2,-0.24378293057068548,0,0,0,2,0
t312,0.3222534951071216,0,0,0,1,0
t588,-0.24412413347715262,0,0,0,1,0
t586,0.10019911244342562,0,1,0,1,0
t869,-0.07356259712181602,0,0,0,1,0
t862,0.29516794732383717,0,0,0,1,0
t772,-0.12588342983651224,0,1,0,1,0
t556,-0.1008736981896973,0,0,0,1,0
t170,0.17466587728469396,0,0,0,1,0
t139,6.1037122035914475,1,0,1,1,1
t1000,-0.04636678034718123,0,0,1,1,0
t255,4.948784579869564,1,1,1,1,1
t810,2.6952749165316328,1,1,1,1,1
t580,0.014290693621470948,0,0,1,1,0
t948,2.9552351991590644,1,1,1,1,1
