txn_id,user_id,amount,timestamp,device_id,location,merchant_id,is_fraud
t320,u55,2701.54,2026-08-01 00:42:00,device_55_A,Lake Robert,m18,0
t562,u89,4079.46,2026-08-01 02:02:00,device_89_A,South Robertton,m2,0
t429,u8,6286.97,2026-08-01 02:48:00,device_8_A,Williamside,m5,0
t937,u37,1323.94,2026-08-01 03:16:00,device_37_A,Johnshire,m12,0
t395,u50,7423.02,2026-08-01 04:15:00,device_unknown_6641,Josephport,m19,1
t801,u91,799.26,2026-08-01 07:54:00,device_91_A,New Lindsayborough,m15,0
t583,u3,4072.96,2026-08-01 07:55:00,device_3_A,Hannahmouth,m20,0
t833,u12,4931.07,2026-08-01 07:59:00,device_12_A,Mercadoside,m5,0
t535,u12,6120.27,2026-08-01 08:08:00,device_12_A,Mercadoside,m12,0
t694,u94,3922.17,2026-08-01 08:28:00,device_94_A,Brownberg,m11,0
t1,u34,5461.29,2026-08-01 09:39:00,device_34_A,North Kyle,m19,0
t719,u89,5282.38,2026-08-01 09:54:00,device_89_A,South Robertton,m10,0
t783,u24,2182.17,2026-08-01 10:15:00,device_24_A,Lake Richardton,m11,0
t978,u33,742.22,2026-08-01 10:47:00,device_33_A,South Timothy,m7,0
t678,u84,1017.7,2026-08-01 10:52:00,device_84_A,Josephside,m15,0
t533,u20,2174.66,2026-08-01 10:54:00,device_20_A,Robertsland,m2,0
t92,u35,4997.25,2026-08-01 11:28:00,device_new_2858,Colemanhaven,m16,0
t818,u53,5345.08,2026-08-01 12:25:00,device_53_A,Cynthiamouth,m14,0
t39,u95,3205.71,2026-08-01 14:32:00,device_95_A,Sandrabury,m9,0
t153,u99,563.74,2026-08-01 14:57:00,device_99_A,Patrickmouth,m5,0
t992,u90,2918.95,2026-08-01 15:11:00,device_90_A,Johnsonfort,m2,0
t927,u67,955.91,2026-08-01 15:42:00,device_new_8270,Kelleytown,m11,0
t82,u4,2679.37,2026-08-01 15:49:00,device_4_A,Port Cynthia,m19,0
t655,u62,10633.29,2026-08-01 15:51:00,device_unknown_9015,Davisfurt,m16,1
t416,u51,3703.69,2026-08-01 16:42:00,device_51_A,Melissamouth,m17,0
